,SeedType,GameST,GameCity,TopSeed,TopST,TopCity,TopTravel,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,TopRPI,BotSeed,BotST,BotCity,BotTravel,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS,BotRPI
13,FourThirteen,ID,Boise,Gonzaga,WA,Spokane,677.376,34,1049,2085,0.503,309,826,0.374,740,1259,0.503,2873,2282,535,376,981,2727,0.606425194,0.577218225,384,0.140814081,466,645,0.309352518,1.053538687,0.836817015,2.06,21,North Carolina Greensboro,NC,Greensboro,3810.874,34,896,2006,0.447,328,914,0.359,568,1092,0.447,2498,2121,480,404,858,2689.6,0.556803795,0.528414756,468,0.174003569,378,539,0.268693918,0.928762641,0.788593099,-4.31,67
14,SixEleven,KS,Wichita,Houston,Texas,Houston,968.944,32,891,1898,0.469,278,714,0.389,613,1184,0.469,2500,2086,480,382,860,2533.4,0.576291816,0.542676502,389,0.153548591,440,616,0.32455216,0.986816136,0.823399384,3.35,18,San Diego State,CA,San+Diego,2192.719,32,882,1913,0.461,235,693,0.339,647,1220,0.461,2480,2173,477,355,851,2561.8,0.561981074,0.522477784,382,0.149113904,481,667,0.348667015,0.968069326,0.848231712,3.85,59
15,ThreeFourteen,KS,Wichita,Michigan,MI,Ann+Arbor,1480.702,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12,Montana,MT,Missoula,2260.007,33,926,1965,0.471,183,534,0.343,743,1431,0.471,2578,2268,421,392,833,2682.6,0.559617255,0.517811705,410,0.1528368,543,769,0.391348601,0.961007977,0.845448446,-2.7,77
16,SevenTen,NC,Charlotte,Texas A&M,TX,College+Station,1718.281,32,887,1942,0.457,211,645,0.327,676,1297,0.457,2400,2234,495,402,921,2624.8,0.541594454,0.511071061,434,0.165345931,415,622,0.320288363,0.914355379,0.851112466,10.53,29,Providence,RI,Providence,1295.876,34,872,1975,0.442,217,651,0.333,655,1324,0.442,2506,2471,468,359,862,2709,0.541018998,0.496455696,424,0.156515319,545,775,0.392405063,0.925064599,0.912144703,10.21,34
17,TwoFifteen,NC,Charlotte,North Carolina,NC,Chapel+Hill,227.521,35,1048,2279,0.46,290,796,0.364,758,1483,0.46,2869,2559,637,492,995,2961.8,0.559067454,0.523475208,422,0.142480924,483,652,0.286090391,0.968667702,0.864001621,12.45,5,Lipscomb,TN,Nashville,658.789,32,901,1976,0.456,260,785,0.331,641,1191,0.456,2642,2480,503,340,907,2780.4,0.566262581,0.521761134,480,0.172637031,580,811,0.410425101,0.950222989,0.891957992,-4.39,103
18,OneSixteen,PA,Pittsburgh,Villanova,PA,Villanova,473.168,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,LIU Brooklyn,NY,Brooklyn,601.167,34,916,2005,0.457,272,789,0.345,644,1216,0.457,2635,2603,429,363,932,2791.2,0.562861,0.524688279,481,0.172327314,531,763,0.380548628,0.944038406,0.932573803,-7.94,236
19,OneSixteen,PA,Pittsburgh,Villanova,PA,Villanova,473.168,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Radford,VA,Radford,519.625,34,802,1882,0.426,263,752,0.35,539,1130,0.426,2290,2188,415,392,783,2529,0.535196784,0.496014878,413,0.163305654,423,585,0.310839532,0.905496244,0.865164096,-4.85,125
20,EightNine,PA,Pittsburgh,Virginia Tech,VA,Blacksburg,516.266,32,901,1811,0.498,280,727,0.385,621,1084,0.498,2551,2296,528,236,820,2456.4,0.606849237,0.574820541,381,0.155105032,469,661,0.364991717,1.038511643,0.934701189,6.92,60,Alabama,AL,Tuscaloosa,1297.049,34,860,1877,0.458,217,668,0.325,643,1209,0.458,2460,2379,426,341,890,2669.2,0.554223816,0.515982952,481,0.180203806,523,778,0.414491209,0.921624457,0.891278286,10.58,40
21,FiveTwelve,CA,San+Diego,WVU,WV,Morgantown,3912.029,34,944,2176,0.434,299,847,0.353,645,1329,0.434,2707,2346,512,476,813,2832.6,0.546921722,0.502527574,385,0.135917532,520,679,0.312040441,0.955659112,0.828214361,9.55,27,Murray State,KY,Murray,3082.553,31,849,1752,0.485,264,696,0.379,585,1056,0.485,2447,2032,459,327,823,2385.6,0.598534361,0.559931507,368,0.154258887,485,664,0.378995434,1.02573776,0.851777331,-4.15,48
22,FourThirteen,CA,San+Diego,Wichita State,KS,Wichita,2193.537,32,930,1944,0.478,292,758,0.385,638,1186,0.478,2656,2283,593,389,902,2587.2,0.591663251,0.553497942,370,0.14301175,504,683,0.351337449,1.026592455,0.88242115,5.88,14,Marshall,WV,Huntington,3646.486,34,992,2115,0.469,341,964,0.354,651,1151,0.469,2865,2680,585,274,958,2845.6,0.590780118,0.54964539,449,0.157787461,540,704,0.33286052,1.006817543,0.941804892,-0.9,87
