,SeedType,GameST,GameCity,TopSeed,TopST,TopCity,TopTravel,TopGames,TopFG,TopFGA,TopFGPer,Top3P,Top3PA,Top3Per,Top2P,Top2PA,Top2Per,TopPTs,TopOppPTS,TopAST,TopORB,TopDRB,TopPoss,TopTSPer,TopEFGPer,TopTOV,TopTOPer,TopFT,TopFTA,TopFTR,TopORTG,TopDRTG,TopSOS,TopRPI,BotSeed,BotST,BotCity,BotTravel,BotGames,BotFG,BotFGA,BotFGPer,Bot3P,Bot3PA,Bot3Per,Bot2P,Bot2PA,Bot2Per,BotPTs,BotOppPTS,BotAST,BotORB,BotDRB,BotPoss,BotTSPer,BotEFGPer,BotTOV,BotTOPer,BotFT,BotFTA,BotFTR,BotORTG,BotDRTG,BotSOS,BotRPI
53,OneSixteen,GA,Atlanta,Virginia,VA,Charlottesville,512,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,Arizona,AZ,Tuscon,1735,34,980,1940,0.505,235,624,0.377,745,1316,0.505,2750,2420,518,341,905,2648.6,0.608202551,0.565721649,417,0.157441667,555,729,0.375773196,1.038284377,0.913690251,7.22,13
54,ThreeFourteen,GA,Atlanta,Tennessee,TN,Knoxville,214,32,810,1835,0.441,249,648,0.384,561,1187,0.441,2377,2114,508,367,793,2497.2,0.557687976,0.509264305,393,0.157376261,508,673,0.366757493,0.95186609,0.846548134,10.59,8,Nevada,NV,Reno,2390,34,963,2056,0.468,330,830,0.398,633,1226,0.468,2825,2478,559,320,905,2698.8,0.590687832,0.548638132,338,0.125240848,569,762,0.370622568,1.046761524,0.91818586,4.35,17
55,OneSixteen,CA,Los+Angeles,Xavier,OH,Cincinnati,2174,33,953,1942,0.491,258,699,0.369,695,1243,0.491,2781,2458,549,322,945,2664.4,0.608363522,0.55715757,410,0.153880799,617,781,0.402162719,1.043762198,0.922534154,9.86,3,Gonzaga,WA,Spokane,1200,34,1049,2085,0.503,309,826,0.374,740,1259,0.503,2873,2282,535,376,981,2727,0.606425194,0.577218225,384,0.140814081,466,645,0.309352518,1.053538687,0.836817015,2.06,21
56,TwoFifteen,CA,Los+Angeles,North Carolina,NC,Chapel+Hill,2544,35,1048,2279,0.46,290,796,0.364,758,1483,0.46,2869,2559,637,492,995,2961.8,0.559067454,0.523475208,422,0.142480924,483,652,0.286090391,0.968667702,0.864001621,12.45,5,Michigan,MI,Ann+Arbor,2242,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12
57,OneSixteen,MA,Boston,Villanova,PA,Villanova,309,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,WVU,WV,Morgantown,591,34,944,2176,0.434,299,847,0.353,645,1329,0.434,2707,2346,512,476,813,2832.6,0.546921722,0.502527574,385,0.135917532,520,679,0.312040441,0.955659112,0.828214361,9.55,27
58,TwoFifteen,MA,Boston,Purdue,IN,West+Lafayette,959,34,958,1928,0.497,326,776,0.42,632,1152,0.497,2759,2232,568,287,904,2569.4,0.617435907,0.581431535,363,0.141278119,517,696,0.360995851,1.073791547,0.868685296,8.66,9,Texas Tech,TX,Lubbock,2038,33,863,1859,0.464,232,634,0.366,631,1225,0.464,2483,2135,447,361,821,2570.6,0.567267975,0.526627219,412,0.160273866,525,749,0.402904788,0.965922353,0.830545398,9.03,24
59,OneSixteen,NE,Omaha,Kansas,KS,Lawrence,207,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4,Auburn,AL,Auburn,986,32,868,1977,0.439,312,852,0.366,556,1125,0.439,2668,2346,462,388,834,2685.6,0.573970811,0.5179565,393,0.146336014,620,789,0.39908953,0.99344653,0.873547811,7.48,16
60,TwoFifteen,NE,Omaha,Duke,NC,Durham,1255,33,1008,2044,0.493,274,725,0.378,734,1319,0.493,2795,2297,578,447,932,2745.2,0.592733658,0.560176125,416,0.151537229,505,713,0.348825832,1.018140755,0.836733207,9.92,7,Michigan State,MI,East+Lansing,674,33,943,1872,0.504,277,671,0.413,666,1201,0.504,2672,2138,638,365,983,2578.2,0.615577426,0.577724359,435,0.168722364,509,678,0.362179487,1.036381972,0.829260725,7.29,15
61,OneSixteen,GA,Atlanta,Virginia,VA,Charlottesville,512,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,Nevada,NV,Reno,2390,34,963,2056,0.468,330,830,0.398,633,1226,0.468,2825,2478,559,320,905,2698.8,0.590687832,0.548638132,338,0.125240848,569,762,0.370622568,1.046761524,0.91818586,4.35,17
62,ThreeFourteen,CA,Los+Angeles,Michigan,MI,Ann+Arbor,2242,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12,Gonzaga,WA,Spokane,1200,34,1049,2085,0.503,309,826,0.374,740,1259,0.503,2873,2282,535,376,981,2727,0.606425194,0.577218225,384,0.140814081,466,645,0.309352518,1.053538687,0.836817015,2.06,21
63,OneSixteen,MA,Boston,Villanova,PA,Villanova,309,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Purdue,IN,West+Lafayette,959,34,958,1928,0.497,326,776,0.42,632,1152,0.497,2759,2232,568,287,904,2569.4,0.617435907,0.581431535,363,0.141278119,517,696,0.360995851,1.073791547,0.868685296,8.66,9
64,OneSixteen,NE,Omaha,Kansas,KS,Lawrence,207,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4,Duke,NC,Durham,1255,33,1008,2044,0.493,274,725,0.378,734,1319,0.493,2795,2297,578,447,932,2745.2,0.592733658,0.560176125,416,0.151537229,505,713,0.348825832,1.018140755,0.836733207,9.92,7
65,OneSixteen,GA,Atlanta,Virginia,VA,Charlottesville,1485,33,825,1788,0.461,243,623,0.39,582,1165,0.461,2229,1762,453,277,800,2248.2,0.562049906,0.529362416,283,0.125878481,336,443,0.247762864,0.991459835,0.783738102,9.7,1,Michigan,MI,Ann+Arbor,1448,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12
66,OneSixteen,NE,Omaha,Villanova,PA,Villanova,1743,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Kansas,KS,Lawrence,780,34,1024,2058,0.498,345,857,0.403,679,1201,0.498,2771,2412,578,325,872,2670.6,0.603661618,0.581389699,397,0.148655733,378,539,0.261904762,1.037594548,0.903167827,11.45,4
,OneSixteen,NE,Omaha,Villanova,PA,Villanova,1743,34,1055,2092,0.504,388,975,0.398,667,1117,0.504,2960,2410,567,319,889,2683.6,0.628300701,0.597036329,352,0.131167089,462,599,0.286328872,1.102995976,0.898047399,9.53,2,Michigan,MI,Ann+Arbor,1448,35,943,2003,0.471,320,868,0.369,623,1135,0.471,2606,2224,518,300,867,2565.8,0.573988582,0.550673989,320,0.124717437,400,607,0.303045432,1.015667628,0.866786188,8.79,12
